d001.s001.t001	document%1:10:00::	wn:06470073n	bn:00028015n
d001.s093.t008	proposal%1:10:00::	wn:07162194n	bn:00064776n
d001.s093.t009	remove%2:40:00::	wn:02224055v	bn:00088783v
d001.s093.t010	age%1:07:00::	wn:04924103n	bn:00001936n
d001.s093.t011	barrier%1:09:00::	wn:05690916n	bn:00008714n
d001.s094.t001	thirdly%4:02:00::	wn:00102986r	bn:00117283r
d001.s094.t002	project%1:09:00::	wn:05910453n	bn:00064665n
d001.s094.t003	assess%2:31:00::	wn:00681429v	bn:00082720v
d001.s094.t004	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s094.t005	public%5:00:00:common:02	wn:00493297a	bn:00109212a
d001.s094.t006	private%5:00:00:personal:00	wn:01768086a	bn:00104973a
d001.s094.t007	sector%1:14:00::	wn:07966719n	bn:00070206n
d001.s094.t008	age%1:07:00::	wn:04924103n	bn:00001936n
d001.s094.t009	barrier%1:09:00::	wn:05690916n	bn:00008714n
d001.s094.t010	especially%4:02:00::	wn:00084223r	bn:00115235r
d001.s094.t011	old%3:00:02::	wn:01643620a	bn:00107786a
d001.s094.t012	worker%1:18:00::	wn:09632518n	bn:00081593n
d001.s095.t001	seek%2:35:00::	wn:01315613v	bn:00090460v
d001.s095.t002	alternative%1:09:00::	wn:05790944n	bn:00003132n
d001.s095.t003	early%3:00:00::	wn:00812952a	bn:00101935a
d001.s095.t004	retirement%1:26:00::	wn:13954118n	bn:00067456n
d001.s095.t005	redundancy%1:07:00::	wn:05120310n	bn:00066743n
d001.s095.t006	project%1:09:00::	wn:05910453n	bn:00064665n
d001.s095.t007	primarily%4:02:01::	wn:00073897r	bn:00114714r
d001.s095.t008	concern%2:42:00::	wn:02676054v	bn:00083240v
d001.s095.t009	retention%1:04:00::	wn:00810598n	bn:00044396n
d001.s095.t010	reintegrate%2:30:00::	wn:00398349v	bn:00092717v
d001.s095.t011	retrain%2:31:00::	wn:00603179v	bn:00092954v
d001.s095.t012	old%3:00:02::	wn:01643620a	bn:00107786a
d001.s095.t013	worker%1:18:00::	wn:09632518n	bn:00081593n
d001.s096.t001	gender%1:07:00::	wn:05006898n	bn:00037634n
d001.s096.t002	ethnic%5:00:00:social:00	wn:02248693a	bn:00100762a
d001.s096.t003	background%1:07:00::	wn:04921417n	bn:00007781n
d001.s096.t004	worker%1:18:00::	wn:09632518n	bn:00081593n
d001.s096.t005	relate%2:31:00::	wn:00713167v	bn:00082868v
d001.s096.t006	age%1:07:00::	wn:04924103n	bn:00001936n
d001.s096.t007	discrimination%1:04:00::	wn:01153548n	bn:00027538n
d001.s096.t008	examine%2:31:00::	wn:00644583v	bn:00082596v
d001.s097.t001	project%1:09:00::	wn:05910453n	bn:00064665n
d001.s097.t002	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s097.t003	consider%2:32:02::	wn:00813044v	bn:00085651v
d001.s097.t004	initiative%1:04:00::	wn:00239230n	bn:00034797n
d001.s097.t005	age%1:07:00::	wn:04924103n	bn:00001936n
d001.s097.t006	discrimination%1:04:00::	wn:01153548n	bn:00027538n
d001.s097.t007	rural_area%1:15:00::	wn:08644722n	bn:00023237n
d001.s097.t008	small%5:00:00:limited:00	wn:01415219a	bn:00106773a
d001.s097.t009	enterprise%1:14:00::	wn:08056231n	bn:00031008n
d001.s098.t001	member%1:14:00::	wn:08170686n	bn:00054277n
d001.s098.t002	state%1:14:00::	wn:08168978n	bn:00023236n
d001.s098.t003	cover%2:42:02::	wn:02629793v	bn:00085497v
d001.s098.t004	project%1:09:00::	wn:05910453n	bn:00064665n
d001.s098.t005	united%3:00:00::	wn:02475855a	bn:00112908a
d001.s098.t006	kingdom%1:15:01::	wn:08591269n	bn:00049168n
d001.s099.t001	document%1:10:00::	wn:06470073n	bn:00028015n
d001.s099.t002	summary%1:10:00::	wn:06467007n	bn:00075142n
d001.s099.t003	european%3:01:00::	wn:02968325a	bn:00102440a
d001.s099.t004	public%3:00:00::	wn:01861205a	bn:00109211a
d001.s099.t005	assessment%1:09:00::	wn:05733583n	bn:00005120n
d001.s099.t006	report%1:10:03::	wn:07218470n	bn:00067181n
d001.s099.t007	explain%2:32:01::	wn:01065456v	bn:00087870v
d001.s099.t008	committee%1:14:00::	wn:08324514n	bn:00021015n
d001.s099.t009	medicinal%5:00:00:healthful:00	wn:01166656a	bn:00106556a
d001.s099.t010	product%1:06:00::	wn:04007894n	bn:00064584n
d001.s099.t011	veterinary%1:18:00::	wn:10749715n	bn:00079883n
d001.s099.t012	use%1:04:00::	wn:00947128n	bn:00030627n
d001.s099.t013	assess%2:31:00::	wn:00681429v	bn:00082720v
d001.s099.t014	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s099.t015	perform%2:36:00::	wn:01712704v	bn:00087107v
d001.s099.t016	reach%2:38:06::	wn:02022162v	bn:00088789v
d001.s099.t017	recommendation%1:10:00::	wn:06671637n	bn:00066562n
d001.s099.t018	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s099.t019	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s101.t001	contain%2:42:00::	wn:02629535v	bn:00085499v
d001.s101.t002	active%3:00:07::	wn:00042457a	bn:00096387a
d001.s101.t003	substance%1:03:00::	wn:00019613n	bn:00074985n
d001.s101.t004	available%3:00:00::	wn:00183053a	bn:00097846a
d001.s101.t005	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s101.t006	solution%1:27:00::	wn:14589223n	bn:00072760n
d001.s101.t007	injection%1:04:01::	wn:00697365n	bn:00046787n
d001.s102.t001	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s102.t002	have%2:40:00::	wn:02203362v	bn:00089240v
d001.s102.t003	score%1:25:00::	wn:13905405n	bn:00069754n
d001.s102.t004	line%1:25:01::	wn:13905792n	bn:00023645n
d001.s102.t005	side%1:08:00::	wn:05551318n	bn:00071433n
d001.s102.t006	so%4:02:03::	wn:00146763r	bn:00117049r
d001.s102.t007	halve%2:31:00::	wn:00642357v	bn:00089157v
d001.s103.t001	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s103.t002	mark%2:35:01::	wn:01275762v	bn:00090663v
d001.s103.t003	logo%1:10:00::	wn:07272084n	bn:00051872n
d001.s103.t004	side%1:08:00::	wn:05551318n	bn:00071433n
d001.s103.t005	letter%1:10:01::	wn:06828818n	bn:00003057n
d001.s103.t006	quantity%1:03:00::	wn:00033615n	bn:00003603n
d001.s103.t007	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s103.t008	side%1:08:00::	wn:05551318n	bn:00071433n
d001.s104.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s105.t001	antiemetic%1:06:00::	wn:02719750n	bn:00004656n
d001.s105.t002	mean%2:32:01::	wn:00955148v	bn:00089805v
d001.s105.t003	stop%2:38:01::	wn:01859221v	bn:00094398v
d001.s105.t004	vomit%2:29:00::	wn:00076400v	bn:00083115v
d001.s106.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s106.t002	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s106.t003	prevent%2:41:01::	wn:02452885v	bn:00088454v
d001.s106.t004	vomit%2:29:00::	wn:00076400v	bn:00083115v
d001.s106.t005	vomit%2:29:00::	wn:00076400v	bn:00083115v
d001.s106.t006	cause%2:36:00::	wn:01645601v	bn:00084699v
d001.s106.t007	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s106.t008	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s106.t009	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s106.t010	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s106.t011	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s106.t012	know%2:31:02::	wn:00595630v	bn:00090142v
d001.s106.t013	cause%2:36:00::	wn:01645601v	bn:00084699v
d001.s106.t014	vomit%2:29:00::	wn:00076400v	bn:00083115v
d001.s107.t001	combination%1:14:00::	wn:07963711n	bn:00020872n
d001.s107.t002	supportive%3:00:00::	wn:02354537a	bn:00111492a
d001.s107.t003	measure%1:04:01::	wn:00174412n	bn:00054018n
d001.s107.t004	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s107.t005	veterinary%3:01:00::	wn:03128816a	bn:00113583a
d001.s107.t006	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s107.t007	special%5:00:00:specialized:00	wn:02278011a	bn:00110996a
d001.s107.t008	diet%1:13:00::	wn:07561112n	bn:00027011n
d001.s107.t009	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s107.t010	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s107.t011	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s107.t012	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s107.t013	injection%1:04:01::	wn:00697365n	bn:00046787n
d001.s107.t014	injection%1:04:01::	wn:00697365n	bn:00046787n
d001.s107.t015	follow%2:42:03::	wn:02720697v	bn:00088425v
d001.s107.t016	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s108.t001	purpose%1:09:00::	wn:05982152n	bn:00002178n
d001.s108.t002	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s108.t003	day%1:28:02::	wn:15164957n	bn:00025419n
d001.s110.t001	block%2:41:00::	wn:02557199v	bn:00083622v
d001.s110.t002	receptor%1:08:01::	wn:05608868n	bn:00066514n
d001.s110.t003	act%2:41:00::	wn:02367363v	bn:00082285v
d001.s110.t004	central_nervous_system%1:08:00::	wn:05480794n	bn:00017184n
d001.s111.t001	study%2:31:02::	wn:00644583v	bn:00082596v
d001.s112.t001	large_number%1:23:00::	wn:13775093n	bn:00009055n
d001.s112.t002	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s112.t003	carry_out%2:36:00::	wn:01640855v	bn:00082225v
d001.s112.t004	laboratory%1:06:00::	wn:03629986n	bn:00049551n
d001.s112.t005	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s112.t006	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s112.t007	veterinary%3:01:00::	wn:03128816a	bn:00113583a
d001.s112.t008	several%5:00:00:some:00	wn:02268268a	bn:00110469a
d001.s112.t009	european_country%1:15:00::	wn:08696931n	bn:00031903n
d001.s113.t001	benefit%1:07:00::	wn:05142641n	bn:00009905n
d001.s113.t002	show%2:32:00::	wn:01015244v	bn:00083245v
d001.s113.t003	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s114.t001	result%1:11:00::	wn:07292694n	bn:00034520n
d001.s114.t002	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s114.t003	show%2:32:00::	wn:01015244v	bn:00083245v
d001.s114.t004	more%4:02:00::	wn:00099341r	bn:00116284r
d001.s114.t005	effective%3:00:00::	wn:00834198a	bn:00102038a
d001.s114.t006	placebo%1:06:00::	wn:03952696n	bn:00062717n
d001.s114.t007	less%3:00:00::	wn:01555416a	bn:00105886a
d001.s114.t008	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s114.t009	see%2:32:00::	wn:00920336v	bn:00082813v
d001.s114.t010	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s114.t011	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s114.t012	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s114.t013	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s114.t014	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s114.t015	placebo%1:06:00::	wn:03952696n	bn:00062717n
d001.s114.t016	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s114.t017	prevention%1:04:00::	wn:01077350n	bn:00008467n
d001.s114.t018	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s115.t001	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s115.t002	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s115.t003	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s115.t004	start%2:41:04::	wn:02600948v	bn:00083347v
d001.s115.t005	injection%1:04:01::	wn:00697365n	bn:00046787n
d001.s115.t006	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s115.t007	animal%1:03:00::	wn:00015388n	bn:00004222n
d001.s115.t008	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s115.t009	able%5:00:00:capable:00	wn:00306663a	bn:00096153a
d001.s115.t010	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s115.t011	intact%5:00:00:undamaged:00	wn:00681268a	bn:00105231a
d001.s115.t012	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s115.t013	again%4:02:00::	wn:00040365r	bn:00114171r
d001.s116.t001	follow-up%1:04:01::	wn:00455348n	bn:00035627n
d001.s116.t002	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s116.t003	owner%1:18:02::	wn:10389398n	bn:00059954n
d001.s116.t004	administer%2:29:00::	wn:00081072v	bn:00082365v
d001.s116.t005	tablet%1:06:00::	wn:03936568n	bn:00052222n
d001.s116.t006	dog%1:05:00::	wn:02084071n	bn:00015267n
d001.s117.t001	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s117.t002	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s117.t003	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s117.t004	only%4:02:01::	wn:00008600r	bn:00114234r
d001.s117.t005	together_with%4:02:00::	wn:00117082r	bn:00114766r
d001.s117.t006	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s117.t007	supportive%3:00:00::	wn:02354537a	bn:00111492a
d001.s117.t008	measure%1:04:01::	wn:00174412n	bn:00054018n
d001.s117.t009	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s117.t010	veterinary%3:01:00::	wn:03128816a	bn:00113583a
d001.s117.t011	therapy%1:04:00::	wn:00661091n	bn:00076843n
d001.s117.t012	address%2:34:00::	wn:01160899v	bn:00082336v
d001.s117.t013	underlie%2:42:00::	wn:02664575v	bn:00095360v
d001.s117.t014	cause%1:11:00::	wn:07326557n	bn:00016850n
d001.s117.t015	vomiting%1:04:00::	wn:00118733n	bn:00027565n
d001.s118.t001	risk%1:26:00::	wn:14541852n	bn:00030747n
d001.s118.t002	associate%2:31:00::	wn:00713167v	bn:00082868v
d001.s119.t001	generally%4:02:01::	wn:00041954r	bn:00115495r
d001.s119.t002	well%4:02:00::	wn:00011093r	bn:00115530r
d001.s119.t003	tolerate%2:39:00::	wn:02109404v	bn:00095008v
d001.s119.t004	administer%2:29:00::	wn:00081072v	bn:00082365v
d001.s119.t005	daily%4:02:00::	wn:00081486r	bn:00114917r
d001.s119.t006	dosage%1:06:00::	wn:03225238n	bn:00028320n
d001.s119.t007	time%1:11:00::	wn:07309599n	bn:00019848n
d001.s119.t008	recommend%2:32:01::	wn:00875141v	bn:00082418v
d001.s119.t009	dose%1:06:00::	wn:03225238n	bn:00028320n
d001.s119.t010	extended%5:00:00:long:02	wn:01439155a	bn:00101795a
d001.s119.t011	period_of_time%1:28:00::	wn:15113229n	bn:00061605n
d001.s119.t012	time%1:11:00::	wn:07309599n	bn:00019848n
d001.s119.t013	maximum%3:00:00::	wn:01495725a	bn:00106517a
d001.s119.t014	duration%1:28:02::	wn:15133621n	bn:00022191n
d001.s119.t015	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s120.t001	precaution%1:04:00::	wn:00822970n	bn:00042049n
d001.s120.t002	person%1:03:00::	wn:00007846n	bn:00046516n
d001.s120.t003	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s120.t004	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s120.t005	come_into%2:40:00::	wn:02206014v	bn:00085354v
d001.s120.t006	contact%1:04:00::	wn:00124880n	bn:00022113n
d001.s120.t007	animal%1:03:00::	wn:00015388n	bn:00004222n
d001.s121.t001	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s121.t002	represent%2:42:00::	wn:02620587v	bn:00083187v
d001.s121.t003	particular%5:00:00:uncommon:00	wn:00488187a	bn:00102398a
d001.s121.t004	risk%1:26:00::	wn:14541852n	bn:00030747n
d001.s121.t005	people%1:14:03::	wn:08180190n	bn:00044382n
